postcode,point_coordinates,street,city,state,lat,long
30906,POINT(4.6118 101.1135),Ipoh - Peti Surat 250,Ipoh,Perak,4.6118,101.1135
30908,POINT(4.6118 101.1135),Ipoh - Peti Surat 254,Ipoh,Perak,4.6118,101.1135
30910,POINT(4.6118 101.1135),Ipoh - Peti Surat 421,Ipoh,Perak,4.6118,101.1135
30912,POINT(4.6118 101.1135),Ipoh - Peti Surat 450,Ipoh,Perak,4.6118,101.1135
30988,POINT(4.608 101.079),Badan Pencegah Rasuah,Ipoh,Perak,4.608,101.079
30990,POINT(4.6118 101.1135),Ipoh - Beg BerKunci,Ipoh,Perak,4.6118,101.1135
31000,POINT(4.4422 101.0546),Batu Gajah,Batu Gajah,Perak,4.4422,101.0546
31007,POINT(4.4693 101.0397),Batu Gajah - Peti Surat,Batu Gajah,Perak,4.4693,101.0397
31009,POINT(4.4693 101.0397),Batu Gajah - Beg Berkunci,Batu Gajah,Perak,4.4693,101.0397
31050,POINT(4.9134 101.0665),Kampung Jawang,Sungai Siput,Perak,4.9134,101.0665
31100,POINT(4.7421 101.0601),Back Lane,Sungai Siput,Perak,4.7421,101.0601
31150,POINT(4.6008 101.1007),Arena Perpaduan Sentosa,Ulu Kinta,Perak,4.6008,101.1007
31200,POINT(4.7281 101.12),Bandar Baru Sri Klebang,Chemor,Perak,4.7281,101.12
31250,POINT(4.5601 101.1448),Changkat Kinding,Tanjong Rambutan,Perak,4.5601,101.1448
31300,POINT(4.5595 101.0673),Bandar Pulai Jaya,Kampung Kepayang,Perak,4.5595,101.0673
31350,POINT(4.5723 101.1157),Ampang Baru,Ipoh,Perak,4.5723,101.1157
